date,yclose-cPOC,yclose_cVAH,yclose_cVAL,yclose_cLVN,cVAH_cPOC,cPOC_cVAL,maxhD5_yclose,yclose_minlD5,close_POC,close_cPOC,close_VAH,close_cVAH,close_VAL,close_cVAL,close_LVN,close_cLVN,dH_maxhD5,dL_minlD5,close_yclose,open_yclose,nextClose_nextOpen,nextClose_close
20170518,-72.12,-121.3771429,-32.71428571,-86.89714286,49.25714286,39.40571429,137,35.4,-19.67428571,-51.72,-35.60571429,-100.9771429,0.24,-12.31428571,-43.57142857,-66.49714286,5.5,38.5,20.4,9.55,78.95,173.25
20170519,98.44857143,47.62,118.78,73.03428571,50.82857143,20.33142857,6,171.9,-39.65714286,78.54857143,-81.07142857,27.72,-33.28571429,98.88,-68.32857143,53.13428571,68.6,135,-19.9,-21.8,49.15,117.1
20170522,152.75,89.36428571,187.9642857,75.27857143,63.38571429,35.21428571,17.45,229.05,-22.85,155.85,-47.27857143,92.46428571,-11.99285714,191.0642857,-6.564285714,78.37857143,53.2,204.7,3.1,-9.1,29.8,42.9
20170523,189.9571429,52.95142857,258.46,121.4542857,137.0057143,68.50285714,30.6,269.1,-33.12857143,167.0571429,-37.32,30.05142857,-14.96571429,235.56,-27.54,98.55428571,-6.8,244,-22.9,-23.85,9.1,42.85
20170524,195.9071429,16.08714286,264.41,161.6557143,179.82,68.50285714,24.65,275.05,0.4,199.8571429,-10.44285714,20.03714286,1.385714286,268.36,3.357142857,165.6057143,2,267.2,3.95,4.9,14.2,12
20170525,3.45,-4.07,86.17,78.65,7.52,82.72,12.65,250.55,-15.93285714,-10.6,-21.48142857,-18.12,-10.38428571,72.12,-6.222857143,64.6,3.25,217.9,-14.05,-12.25,-15.15,30
20170526,2.118571429,-7.592857143,36.10857143,70.09857143,9.711428571,33.99,13.95,156,12.59428571,39.11857143,6.834285715,29.40714286,15.88571429,73.10857143,6.011428572,107.0985714,27.05,168.2,37,29.15,29.85,17
20170529,13.84571429,6.571428571,50.21714286,64.76571429,7.274285714,36.37142857,27,100.3,-22.58571429,32.54571429,-27.84285714,25.27142857,-13.38571429,68.91714286,-6.814285714,83.46571429,27,108.3,18.7,10.15,-28.85,2.45
20170530,54.57142857,25,97.28571429,38.14285714,29.57142857,42.71428571,14,101,23.36714286,62.22142857,15.07,32.65,26.47857143,104.9357143,17.14428571,45.79285714,-4,74.7,7.65,10,12.7,-7.85
20170531,36.40714286,-4.632857143,65.72142857,21.75,41.04,29.31428571,32.85,69.75,-17.49285714,40.55714286,-20.22142857,-0.482857143,2.971428571,69.87142857,-6.578571429,25.9,-0.6,54.25,4.15,5.95,-20.4,-0.2
20170601,16.94857143,-6.502857143,28.67428571,43.33142857,23.45142857,11.72571429,14.2,88.4,21.32857143,27.14857143,17.49285714,3.697142857,27.72142857,38.87428571,9.821428571,53.53142857,6,63.85,10.2,5.7,12.15,-14
20170602,-2.482857143,-18.37428571,6.345714286,-11.31142857,15.89142857,8.828571429,34.9,26.9,17.32857143,-16.58285714,4.66,-32.47428571,23.66285714,-7.754285714,-0.9,-25.41142857,-11.15,-23.25,-14.1,-1.25,-4.85,-34.25
20170605,7.17,-9.84,14.46,18.525,17.01,7.29,24,61.05,2.042857143,-47.83,-4.9,-64.84,8.985714286,-40.54,-9.528571429,-36.475,-62.5,-17.95,-55,-54.4,-24.3,-12.7
20170606,-51.42142857,-69.07857143,-19.05,-24.93571429,17.65714286,32.37142857,83.25,19.75,-14.05714286,-39.87142857,-20.04,-57.52857143,-8.074285714,-7.5,-1.125,-13.38571429,-44.4,6.25,11.55,15.85,19.55,4.85
20170607,-59.87142857,-77.52857143,-24.55714286,-40.2,17.65714286,35.31428571,91.7,11.3,8.628571429,-55.22142857,-15.05,-72.87857143,16.98571429,-19.90714286,-3.907142857,-35.55,-58,-3.75,4.65,5.3,-19.55,-18.95
20170608,0.15,-15.1,27.6,-24.25,15.25,27.45,66.85,39.9,4.765714286,-20,-1.248571429,-35.25,20.40285714,7.45,1.157142857,-44.4,-78.65,-14,-20.15,-19.6,-17.75,-28
20170609,-39.53714286,-52.06285714,-14.48571429,-61.45714286,12.52571429,25.05142857,94.85,14.75,13.32,-21.73714286,1.348571429,-34.26285714,15.71428571,3.314285714,12.12285714,-43.65714286,-66.95,0.75,17.8,8.75,50.5,59.7
20170612,-23.55571429,-41.00714286,-8.285714286,-43.18857143,17.45142857,15.27,70.6,5.75,-14.57857143,16.19428571,-22.75,-1.257142857,-4.364285714,31.46428571,-22.75,-3.438571429,36.4,41.25,39.75,36,-7.5,46.75
20170613,31.54285714,21.87857143,66.97857143,18.65714286,9.664285714,35.43571429,20.5,92.25,2.778571428,33.59285714,-7.472857143,23.92857143,5.932857143,69.02857143,6.721428571,20.70714286,-7.4,77.75,2.05,7.5,12.7,-20.95
20170614,63.75714286,28.32142857,79.86428571,12.21428571,35.43571429,16.10714286,20.5,92.25,8.88,32.25714286,2.914285714,-3.178571429,16.33714286,48.36428571,-1.56,-19.28571429,-29,31.55,-31.5,-31.6,-49.1,-13.95
